Estimate summary
Upfront cost,Monthly cost,Total 12 months cost,Currency
0,19407.22,232886.64,USD
,,* Includes upfront cost


Detailed Estimate
Group hierarchy,Region,Description,Service,Upfront,Monthly,First 12 months total,Currency,Status,Configuration summary
My Estimate,US East (N. Virginia),,Amazon Route 53,0,306,3672.00,USD,,Hosted Zones (2)
My Estimate,US East (N. Virginia),,Amazon EC2 ,0,6534.24,78410.88,USD,,"Tenancy (Shared Instances), Operating system (Linux), Workload (Consistent, Number of instances: 8), Advance EC2 instance (f1.2xlarge), Pricing strategy ( 1 Year  None upfront), Enable monitoring (enabled), DT Inbound: Not selected (0 TB per month), DT Outbound: Not selected (0 TB per month), DT Intra-Region: (0 TB per month)"
My Estimate,US East (N. Virginia),,S3 Standard,0,12.85,154.20,USD,,"S3 Standard storage (500 GB per month), PUT, COPY, POST, LIST requests to S3 Standard (), Data returned by S3 Select (500 GB per month), Data scanned by S3 Select (500 GB per month)"
My Estimate,US East (N. Virginia),,S3 Standard - Infrequent Access,0,0.38,4.56,USD,,S3 Standard-IA storage (30 GB per month)
My Estimate,US East (N. Virginia),,S3 One Zone - Infrequent Access,0,0,0.00,USD,,
My Estimate,US East (N. Virginia),,S3 Glacier Flexible Retrieval,0,0,0.00,USD,,"S3 Glacier Flexible Retrieval Average Object Size (16 MB), null (0), Provisioned Capacity Units (0)"
My Estimate,US East (N. Virginia),,S3 Management and Insights,0,0,0.00,USD,,
My Estimate,US East (N. Virginia),,Data Transfer,0,0,0.00,USD,,"DT Inbound: All other regions (0 TB per month), DT Outbound: Not selected (0 TB per month)"
My Estimate,US East (N. Virginia),,Amazon CloudFront,0,527.53,6330.36,USD,,"Data transfer out to internet (5024 GB per month), Data transfer out to origin (5024 GB per month), Number of requests (HTTPS) (5024 per month)"
My Estimate,US East (N. Virginia),,Amazon RDS for MySQL,0,4951.82,59421.84,USD,,"Storage for each RDS instance (Provisioned IOPS SSD (io1)), Storage amount (1000 GB), Provisioning IOPS (), Quantity (2), Instance type (db.m4.4xlarge), Utilization (On-Demand only) (100 %Utilized/Month), Deployment option (Multi-AZ), Pricing strategy (OnDemand), Additional backup storage (100 GB), Total Size of Backup Processed for Export (GB) (100 per month)"
My Estimate,US East (N. Virginia),,Application Load Balancer,0,3219.2999999999997,38631.60,USD,,Number of Application Load Balancers (4)
My Estimate,US East (N. Virginia),,Network Load Balancer,0,470.85,5650.20,USD,,"Number of Network Load Balancers (2), Processed bytes per NLB for TLS (50 GB per hour), Average number of new TLS connections (10 per second), Average TLS connection duration (10 seconds)"
My Estimate,US East (N. Virginia),,Amazon CloudWatch,0,290.45029999999997,3485.40,USD,,"Number of Metrics (includes detailed and custom metrics) (10), GetMetricData: Number of metrics requested (10), GetMetricWidgetImage: Number of metrics requested (10), Number of other API requests (500000), Standard Logs: Data Ingested (50 GB), Logs Delivered to CloudWatch Logs: Data Ingested (50 GB), Logs Delivered to S3: Data Ingested (50 GB), Number of Custom/Cross-account events (500000), Number of Dashboards (50), Number of Standard Resolution Alarm Metrics (50), Number of High Resolution Alarm Metrics (), Number of monitored resources (10 per hour)"
My Estimate,US East (N. Virginia),,VPN Connection,0,0,0.00,USD,,Working days per month (22)
My Estimate,US East (N. Virginia),,Transit Gateway,0,182.7,2192.40,USD,,Number of Transit Gateway attachments (5)
My Estimate,US East (N. Virginia),,Data Transfer,0,0,0.00,USD,,"DT Inbound: Not selected (0 TB per month), DT Outbound: Not selected (0 TB per month), DT Intra-Region: (0 TB per month)"
My Estimate,US East (N. Virginia),,Amazon EC2 ,0,2911.1040000000003,34933.25,USD,,"Tenancy (Shared Instances), Operating system (Linux), Workload (Consistent, Number of instances: 8), Advance EC2 instance (m4.4xlarge), Pricing strategy ( 1 Year  None upfront), Enable monitoring (enabled), DT Inbound: Not selected (0 TB per month), DT Outbound: Not selected (0 TB per month), DT Intra-Region: (0 TB per month)"



Acknowledgement
"* AWS Pricing Calculator provides only an estimate of your AWS fees and doesn't include any taxes that might apply. Your actual fees depend on a variety of factors, including your actual usage of AWS services."
